Papers
paper id;first name;last name;institution;track;title
126;Oluwatomi;Akindele;Texas A&M University;4;INVESTIGATION OF PVT DETECTOR PERFORMANCE BASED ON DETECTOR THICKNESS
209;Chad;O'Hagan;Texas A&M University;16;Spent Fuel Pool Graphical User Interface Application For Verifying Fuel Assembly Placement
177;Rachel;Shapiro;The Pennsylvania State University;20;Optimization of Boron Distribution in ORNL High Flux Isotope Reactor LEU Core
106;Derek;;McLain;23;Effect of Elemental Interferences on Radioanalytical Analysis of Steel
127;Braden;Goddard;Texas A&M University;5;"DEVELOPMENT OF A NEUTRON MULTIPLICITY COUNTING LABORATORY EXPERIMENT AT TEXAS A&amp;M UNIVERSITY"
128;Michael;Patrick Riley;The Pennsylvania State University;22;Correlation for the Prediction of Nucleate Boiling Heat Flux on a Downward Facing Hemispherical Surface during a Severe Accident
109;Jon;Jensen;Idaho Stae University;9;
108;Jon;Jensen;Idaho Stae University;13;
134;Pablo;Vaquer;University of Florida ;12;A QUANTITATIVE COMPARISON OF INVERSE TRANSPORT METHODS USING THREE-DIMENSIONAL PROBLEMS THAT HAVE LOCAL MINIMA AND MULTIPLE SOLUTIONS
104;Vivek;Maradia;;14;ACCIDENT SEQUENCE MODELING FOR INDIAN FAST BREEDER  TEST REACTOR
107;Alecksandra;;St.Petersburg State Polytechnical University;16;Abstract_corr
130;Gian;de Guzman;Idaho State University;7;Abstract
131;Margaret;Root;Massachusetts Institute of Technology;13;Monte Carlo Simulations in Support of PNEM Field Trial Data Analysis
133;can;;liao;4;Study on Pulse Shape Discrimination with an EJ339A Boron-Loaded Liquid Scintillation Detector
136;Phyllis;Ko;The Pennsylvania State University;4;BORON ISOTOPE MEASUREMENTS: NANOSECOND AND FEMTOSECOND LASER-INDUCED BREAKDOWN SPECTROSCOPY OF BORON CARBIDE WITH NON-GATED DETECTION
137;Daniel;Abercrombie;The Pennsylvania State University;0;Optimization of X-Ray Production Via Bremsstrahlung for Active Interrogation of Nuclear Materials
138;Francesco;Pedretti;University of Pisa;22;Ideas for the definition of the heat transfer surface
140;Kyoungmin;Kang;University of Wisconsin-Madison;22;Computational Analysis for Ex-Vessel Quenching with Various Cavity Diameters and Core Melt Mass
148;Scott;McBeath;RISE Complex, Idaho State University;13;MCNP Simulation of a Shielding Enclosure for a Cargo Interrogation System
149;Timothy;Jacomb-Hood;Penn State University;13;UNRAVELING ENVIRONMENTAL CONTRIBUTIONS TO FALLOUT FORMATION
145;Austin;Tam;Idaho State University;13;Variable Zinc Oxide Nanostructure Growth on Sapphire Substrate for Neutron Detection
147;Rita;Patel;University of Pittsburgh;5;Creation of a Coursera Course
150;Hirotatsu;Armstrong;The University of Texas at Austin;13;Modeling a Spanning Set of Active Interrogation Scenarios
151;Emerald;Ryan;Idaho State University ;12;Crystal Furnace Graphical Interface for Growth of Oxide Nuclear Fuel Materials
380;Daniel;Siefman;University of Florida;15;ANS Abstract (w/ revisions)
152;Walter;Williams;Oregon State University;4;NEUTRON RADIOGRAPHY AND TOMOGRAPHY: DETERMINING AND OPTIMIZING RESOLUTION OF NEUTRON SENSITIVE MCP DETECTORS
153;Danny;Permar;University of Florida;11;FRAPCON 3.4 TO DETERMINE ENAHCED PERFORMANCE OF UO2 COMPOSITE FUEL FABRICATED BY SPARK PLASMA SINTERING
154;JYOTHIER;KUMAR NIMMAGADDA;IDAHO STATE UNIVERSITY;20;IRON REFLECTOR EFFECTS IN THE FAST NEUTRON REACTORS
