paper id;First Name;Last Name;Institution;Affiliation;Track;Podium?;title;Follow Up
104;Vivek;Maradia;Pandit Deendayal Petroleum University;Pandit;14;1;Accident Sequence Modeling for Indian Fast Breeder Test Reactor;
106;Derek;McLain;University of Nevada - Las Vegas;UNLV;13;1;Effect of Elemental Interferences on Radioanalytical Analysis of Steel;
107;Alecksandra;Sirotkina;St.Petersburg State Polytechnical University;SPBSTU;16;1;Light Water Reactor with Supercritical Pressure and Spectral Control: Construction, Perspectives, Safety;Title
108;Jon;Jensen;Idaho State University;ISU;13;1;Design and Testing for a Pedestrian Portal Monitor System;
109;Jon;Jensen;Idaho State University;ISU;16;1;Design and Testing of a Model Boiling Water Reactor;
126;Oluwatomi;Akindele;Texas A&M University;TAMU;4;1;Investigation of PVT Detector Performance Based on Detector Thickness;
127;Braden;Goddard;Texas A&M University;TAMU;5;1;Development of a Neutron Multiplicity Counting Laboratory Experiment at Texas A&M University;
128;Michael P.;Riley;Pennsylvania State University;PSU;22;1;Correlation for the Prediction of Nucleate Boiling Heat Flux on a Downward Facing Hemispherical Surface During a Severe Accident;
130;Gian;de Guzman;Idaho State University;ISU;7;1;What are the Risks and Benefits of Accelerated Spent Fuel Transfer?;
131;Margaret;Root;Massachusetts Institute of Technology;MIT;13;1;Monte Carlo Simulations in Support of PNEM Field Trial Data Analysis;
133;Can;Liao;University of Utah;Utah;4;1;Study on Pulse Shape Discrimination with an EJ339A Boron-Loaded Liquid Scintillation Detector;
134;Pablo;Vaquer;University of Florida ;UF;12;1;A Quantitative Comparison of Inverse Transport Methods Using Three-Dimensional Problems That Have Local Minima and Multiple Solutions;
135;Taylor;Lane;Texas A&M University;TAMU;8;0;A Flux-Limited Diffusion Method for Simulating Radiative Shocks;
136;Phyllis;Ko;Pennsylvania State University;PSU;4;1;Boron Isotope Measurements: Nanosecond and Femtosecond Laser-Induced Breakdown Spectroscopy of Boron Carbide with Non-Gated Detection;
137;Daniel;Abercrombie;Pennsylvania State University;PSU;0;1;Optimization of X-Ray Production Via Bremsstrahlung for Active Interrogation of Nuclear Materials;
138;Francesco;Pedretti;University of Pisa;Pisa;22;1;Ideas for the Definition of the Heat Transfer Surface;
139;Jacquelyn;Dorhout;University of Nevada - Las Vegas;UNLV;23;0;Synthesis of Rapid Separation Targets by Hydrothermal Methods;
